"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Jungle",3,"13.0%","21.7%","39.1%","67%","0%",12,4,22,8.5,"72.3%","13.3%","33%",506,442,7,8.6,"24.4%",554,"20.4%","23.2%",0.35,0.32
"Aatrox","Top",1,"4.3%","21.7%","39.1%","100%","100%",8,1,4,12,"52.2%","16.7%","0%",525,-32,4,10,"30.9%",994,"29.2%","25.2%",0.3,0.19
"Ahri","Middle",3,"13.0%","13.0%","26.1%","33%","33%",9,8,13,2.8,"71.0%","15.1%","0%",-293,134,-4,8.9,"25.4%",683,"27.2%","23.0%",0.56,0.21
"Akali","Middle",2,"8.7%","47.8%","56.5%","0%","100%",3,8,4,0.9,"46.7%","23.5%","0%",-405,-187,-10,8.1,"21.9%",386,"14.8%","18.6%",0.3,0.28
"Alistar","Support",3,"13.0%","0.0%","13.0%","33%","67%",1,11,20,1.9,"75.0%","20.8%","0%",-278,-221,-0.3,1,"2.0%",145,"6.4%","10.1%",2.32,0.43
"Ambessa","Top",4,"17.4%","4.3%","21.7%","75%","50%",6,10,14,2,"37.7%","30.3%","0%",-278,-103,-6.8,8.7,"24.3%",626,"24.4%","19.3%",0.41,0.14
"Anivia","Support",1,"4.3%","4.3%","13.0%","100%","100%",2,1,18,20,"87.0%","16.7%","100%",487,-180,-1,1.9,"5.3%",414,"15.4%","13.7%",1.88,0.81
"Anivia","Top",1,"4.3%","4.3%","13.0%","100%","100%",0,4,6,1.5,"46.2%","33.3%","0%",-594,-333,-1,6.9,"20.2%",332,"17.1%","16.0%",0.64,0.16
"Annie","Middle",3,"13.0%","21.7%","34.8%","67%","33%",9,9,13,2.4,"52.4%","29.0%","33%",-6,-207,-3.3,6.9,"17.1%",580,"23.2%","16.4%",0.34,0.23
"Aphelios","ADC",1,"4.3%","0.0%","4.3%","0%","0%",5,1,1,6,"60.0%","5.9%","0%",606,329,9,10.1,"31.7%",834,"28.5%","30.7%",0.43,0.37
"Ashe","ADC",4,"17.4%","4.3%","21.7%","25%","0%",4,16,20,1.5,"60.0%","25.8%","0%",-441,-284,-10.5,9.3,"29.1%",627,"24.1%","23.3%",0.44,0.23
