"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Jungle",1,"0.6%","0.0%","1.1%","0%","100%",2,5,2,0.8,"80.0%","21.7%","0%",446,105,2,6.4,"16.9%",282,"16.4%","22.5%",0.38,0.7
"Aatrox","Top",1,"0.6%","0.0%","1.1%","0%","100%",1,4,2,0.8,"37.5%","28.6%","0%",-541,-44,-17,8.3,"24.4%",395,"20.5%","18.3%",0.41,0.16
"Ahri","Middle",21,"11.7%","3.9%","15.6%","62%","43%",97,42,139,5.6,"69.2%","14.0%","5%",184,30,2.6,9.4,"26.2%",704,"24.5%","22.4%",0.33,0.24
"Akali","Middle",19,"10.6%","18.3%","28.9%","37%","95%",83,58,75,2.7,"56.2%","19.2%","5%",-214,-59,-6.8,8.6,"23.5%",582,"21.8%","21.5%",0.29,0.2
"Alistar","Support",11,"6.1%","2.8%","8.9%","64%","73%",6,30,126,4.4,"70.2%","19.7%","55%",-229,-55,0.5,1,"1.7%",144,"5.2%","9.6%",2.03,0.36
"Ambessa","Jungle",5,"2.8%","10.0%","29.4%","0%","40%",10,19,20,1.6,"63.8%","18.3%","60%",354,285,5.6,7,"20.5%",375,"13.9%","19.8%",0.38,0.34
"Ambessa","Top",30,"16.7%","10.0%","29.4%","30%","73%",76,90,133,2.3,"55.6%","17.3%","0%",-102,12,-4.1,8.6,"25.4%",670,"24.5%","20.9%",0.39,0.14
"Anivia","Middle",21,"11.7%","15.0%","35.0%","62%","81%",75,45,136,4.7,"65.9%","14.7%","19%",46,144,1.3,8.9,"24.9%",670,"23.3%","21.3%",0.5,0.27
"Anivia","Support",8,"4.4%","15.0%","35.0%","38%","75%",4,34,58,1.8,"66.7%","23.8%","50%",186,-40,-2.8,1.3,"3.6%",291,"10.6%","10.6%",1.7,0.51
"Anivia","Top",7,"3.9%","15.0%","35.0%","29%","71%",15,23,25,1.7,"43.0%","19.8%","14%",74,37,1,7.9,"21.4%",548,"19.8%","18.4%",0.56,0.19
"Annie","Middle",45,"25.0%","14.4%","40.0%","60%","18%",134,143,333,3.3,"64.6%","23.3%","18%",-5,0,2,8.3,"21.9%",715,"23.5%","19.4%",0.32,0.26
"Annie","Top",1,"0.6%","14.4%","40.0%","100%","100%",2,8,9,1.4,"61.1%","47.1%","0%",-856,243,-8,5.8,"12.3%",571,"18.6%","12.5%",0.37,0.19
"Aphelios","ADC",3,"1.7%","1.1%","2.8%","67%","100%",13,8,21,4.3,"70.8%","22.9%","67%",339,368,8,10.5,"32.9%",738,"27.3%","29.7%",0.47,0.52
"Ashe","ADC",45,"25.0%","23.3%","48.3%","56%","31%",180,130,284,3.6,"71.5%","21.2%","24%",-53,-143,0,9.9,"29.7%",676,"24.7%","26.3%",0.43,0.41
"Aurelion Sol","Middle",1,"0.6%","0.0%","0.6%","0%","100%",3,2,2,2.5,"62.5%","10.0%","0%",-357,-935,-19,9.5,"29.6%",465,"18.7%","24.6%",0.46,0.25
"Aurora","Middle",35,"19.4%","8.3%","29.4%","40%","57%",161,85,184,4.1,"66.5%","16.4%","9%",57,48,0.3,8.9,"24.5%",724,"26.9%","21.8%",0.35,0.27
"Aurora","Top",3,"1.7%","8.3%","29.4%","33%","67%",13,11,7,1.8,"55.6%","16.4%","0%",206,179,2,7.9,"22.2%",888,"32.2%","20.9%",0.4,0.25
"Azir","Middle",32,"17.8%","32.2%","50.0%","50%","31%",116,102,168,2.8,"59.0%","19.1%","6%",-193,-105,-3.1,9.4,"26.6%",785,"26.6%","22.1%",0.44,0.28
"Bard","Support",42,"23.3%","42.8%","66.1%","57%","31%",49,134,437,3.6,"81.3%","22.3%","33%",9,47,-1.1,1.1,"2.9%",240,"8.8%","10.9%",2.02,0.67
"Blitzcrank","-",0,"0%","0.6%","0.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Caitlyn","ADC",37,"20.6%","22.8%","43.3%","57%","49%",148,108,192,3.1,"62.2%","20.5%","19%",281,62,8,10.4,"31.3%",756,"26.2%","27.6%",0.47,0.42
"Camille","Support",3,"1.7%","0.0%","1.7%","67%","100%",10,15,24,2.3,"58.6%","35.7%","100%",363,-258,1.7,1.4,"4.0%",351,"12.1%","12.6%",2.16,0.73
"Cassiopeia","Middle",21,"11.7%","16.1%","27.8%","57%","52%",86,64,118,3.2,"63.0%","20.8%","24%",192,106,6.2,8.8,"23.4%",689,"24.2%","21.6%",0.47,0.16
"Corki","ADC",22,"12.2%","5.6%","17.8%","41%","82%",92,60,103,3.3,"67.0%","16.8%","18%",-165,-103,-3.5,10,"32.7%",758,"29.6%","28.0%",0.42,0.31
"Dr. Mundo","Jungle",1,"0.6%","0.0%","0.6%","0%","100%",2,3,6,2.7,"88.9%","15.0%","0%",125,651,13,6.7,"17.3%",708,"23.3%","19.5%",0.29,0.59
"Draven","ADC",1,"0.6%","0.0%","0.6%","0%","100%",1,5,3,0.8,"57.1%","27.8%","0%",-2153,-611,-7,9.9,"34.8%",572,"23.8%","28.1%",0.44,0.34
"Elise","Support",5,"2.8%","1.7%","4.4%","40%","80%",14,22,44,2.6,"58.0%","26.8%","40%",173,-194,1.6,1.3,"3.6%",395,"11.9%","11.4%",2.32,0.72
"Ezreal","ADC",54,"30.0%","21.7%","51.7%","39%","24%",224,127,240,3.7,"65.0%","15.1%","28%",8,145,3.2,10.2,"31.3%",828,"30.6%","27.9%",0.41,0.29
"Galio","Middle",5,"2.8%","3.3%","6.7%","40%","100%",10,19,30,2.1,"70.2%","26.8%","20%",-494,-310,-11,8.4,"22.8%",412,"17.6%","19.7%",0.37,0.26
"Galio","Top",1,"0.6%","3.3%","6.7%","0%","100%",1,6,11,2,"63.2%","24.0%","0%",-253,-341,-11,7.7,"22.4%",465,"15.3%","17.1%",0.39,0.19
"Gnar","Top",49,"27.2%","12.2%","39.4%","67%","37%",106,121,259,3,"48.7%","19.8%","20%",-18,-9,-0.5,8.8,"24.6%",643,"23.0%","20.5%",0.47,0.23
"Gragas","Top",1,"0.6%","0.0%","0.6%","0%","100%",1,4,4,1.3,"50.0%","21.1%","0%",38,-175,-9,7.4,"21.4%",372,"18.4%","16.6%",0.6,0.17
"Gwen","Top",3,"1.7%","3.3%","5.0%","0%","100%",8,10,6,1.4,"60.9%","16.4%","0%",249,24,5,9,"26.3%",1075,"35.7%","25.1%",0.3,0.32
"Hwei","Middle",5,"2.8%","1.1%","3.9%","60%","100%",19,18,52,3.9,"66.4%","19.1%","20%",-190,-66,-2.4,8.1,"23.5%",723,"23.2%","19.7%",0.48,0.13
"Illaoi","Top",2,"1.1%","0.0%","1.1%","100%","100%",6,6,5,1.8,"39.3%","46.2%","0%",-246,-274,-7.5,9.8,"26.9%",767,"28.3%","19.6%",0.59,0.09
"Irelia","Top",1,"0.6%","0.0%","0.6%","0%","100%",0,10,3,0.3,"17.6%","43.5%","0%",-1062,-1036,-11,9.6,"28.1%",416,"14.5%","19.1%",0.53,0.16
"Jarvan IV","Jungle",64,"35.6%","27.2%","62.8%","55%","17%",161,193,619,4,"83.7%","21.5%","34%",47,50,0.9,6.7,"17.4%",418,"15.4%","19.2%",0.35,0.44
"Jax","Top",3,"1.7%","2.2%","3.9%","100%","33%",12,4,13,6.3,"36.8%","12.5%","0%",39,192,-5.7,8.2,"23.7%",641,"20.0%","19.5%",0.59,0.15
"Jayce","Top",51,"28.3%","28.3%","56.7%","51%","6%",156,171,255,2.4,"54.5%","23.3%","8%",231,-39,6,8.9,"23.9%",760,"26.1%","21.5%",0.51,0.2
"Jhin","ADC",43,"23.9%","6.1%","30.0%","58%","77%",189,86,283,5.5,"68.0%","15.6%","37%",127,87,1.4,10,"29.8%",715,"24.2%","27.2%",0.47,0.24
"K'Sante","Top",32,"17.8%","6.1%","23.9%","31%","84%",69,100,139,2.1,"47.1%","18.9%","0%",-174,-8,-4.2,8.1,"20.9%",463,"16.9%","18.7%",0.43,0.17
"Kai'Sa","ADC",3,"1.7%","1.7%","3.3%","33%","100%",13,10,8,2.1,"58.3%","20.0%","33%",-151,-411,-12.3,9.7,"32.0%",537,"23.5%","30.3%",0.44,0.42
"Kalista","ADC",7,"3.9%","2.2%","6.1%","43%","43%",31,27,41,2.7,"73.5%","20.1%","29%",-29,-121,-0.9,9.7,"29.6%",748,"25.0%","27.2%",0.41,0.38
"Karma","Support",34,"18.9%","58.3%","77.2%","62%","6%",30,70,411,6.3,"77.6%","17.5%","44%",125,69,-1.9,1,"2.3%",315,"10.2%","10.7%",2,0.49
"Kennen","Top",4,"2.2%","2.2%","4.4%","25%","75%",8,14,10,1.3,"42.9%","21.5%","25%",432,106,9.5,8.6,"23.4%",663,"25.5%","20.5%",0.44,0.21
"Kha'Zix","Jungle",2,"1.1%","0.0%","1.1%","100%","100%",19,5,15,6.8,"85.0%","35.7%","100%",1438,205,1.5,8.3,"21.5%",849,"29.2%","28.3%",0.31,0.61
"Kog'Maw","ADC",3,"1.7%","0.6%","2.8%","67%","100%",16,6,20,6,"65.5%","18.2%","33%",-41,-8,-1.3,9.7,"30.1%",1171,"31.8%","27.4%",0.4,0.33
"Kog'Maw","Middle",1,"0.6%","0.6%","2.8%","0%","100%",2,1,3,5,"83.3%","8.3%","0%",-200,-246,-3,8.8,"23.9%",612,"35.2%","22.0%",0.53,0.22
"LeBlanc","Middle",5,"2.8%","6.7%","9.4%","20%","100%",16,15,16,2.1,"53.3%","16.9%","0%",149,195,4.2,8.6,"22.5%",793,"28.3%","21.1%",0.31,0.26
"Lee Sin","Jungle",30,"16.7%","16.1%","32.8%","50%","63%",140,95,228,3.9,"77.0%","19.4%","33%",-6,51,0,6.8,"18.6%",484,"16.6%","20.9%",0.7,0.34
"Leona","Support",5,"2.8%","2.8%","5.6%","40%","60%",1,24,32,1.4,"55.0%","27.6%","0%",-335,-217,-1.6,1.1,"2.5%",127,"5.2%","8.8%",1.96,0.53
"Lissandra","Middle",1,"0.6%","0.0%","0.6%","100%","100%",1,3,10,3.7,"55.0%","37.5%","0%",-699,-525,-12,8.7,"21.9%",469,"17.7%","17.7%",0.17,0.17
"Lucian","ADC",31,"17.2%","17.2%","34.4%","48%","23%",127,107,150,2.6,"68.4%","24.8%","42%",128,-42,-0.6,9.8,"32.0%",882,"31.0%","27.4%",0.45,0.43
"Lulu","Support",42,"23.3%","11.7%","35.0%","43%","36%",18,116,427,3.8,"77.7%","18.2%","21%",-84,-47,1.7,1,"1.8%",209,"8.0%","10.2%",1.87,0.41
"Lux","Support",8,"4.4%","0.0%","4.4%","75%","88%",9,16,94,6.4,"76.9%","14.5%","38%",233,301,-1,1.3,"3.6%",387,"13.0%","11.6%",1.93,0.46
"Maokai","Jungle",3,"1.7%","0.0%","1.7%","100%","100%",6,2,31,18.5,"69.8%","8.7%","33%",186,343,5.3,7.2,"19.4%",526,"17.1%","18.4%",0.36,0.38
"Mel","ADC",6,"3.3%","5.6%","14.4%","50%","100%",36,16,27,3.9,"56.8%","17.6%","50%",254,256,1,10.1,"30.3%",642,"25.8%","27.8%",0.52,0.23
"Mel","Middle",10,"5.6%","5.6%","14.4%","50%","90%",59,18,37,5.3,"70.6%","14.0%","30%",442,204,9.9,9.8,"27.1%",694,"25.3%","24.7%",0.49,0.22
"Milio","Support",29,"16.1%","0.6%","16.7%","52%","45%",15,62,309,5.2,"82.0%","15.5%","38%",-28,68,-1.6,0.9,"1.6%",160,"5.6%","10.4%",1.83,0.33
"Miss Fortune","ADC",16,"8.9%","2.2%","11.1%","56%","75%",97,40,89,4.7,"71.5%","17.2%","13%",-101,55,-4.3,10.5,"32.8%",902,"29.9%","30.5%",0.45,0.4
"Morgana","Support",1,"0.6%","0.0%","0.6%","100%","100%",1,2,17,9,"90.0%","11.8%","100%",773,408,-7,0.7,"1.6%",254,"8.3%","10.7%",2.3,0.39
"Naafiri","Jungle",15,"8.3%","5.6%","15.0%","53%","80%",72,39,92,4.2,"73.5%","19.7%","40%",-11,30,0.7,7,"19.0%",558,"20.1%","21.5%",0.34,0.38
"Naafiri","Top",2,"1.1%","5.6%","15.0%","100%","100%",8,6,9,2.8,"45.9%","40.0%","0%",-493,-70,-9,7.4,"22.2%",591,"22.2%","19.3%",0.34,0.22
"Nami","Support",18,"10.0%","11.1%","21.1%","50%","94%",17,44,167,4.2,"78.3%","17.3%","28%",-73,-148,-0.1,0.9,"1.7%",261,"9.8%","10.9%",1.72,0.37
"Nautilus","Support",30,"16.7%","32.2%","48.9%","33%","77%",12,139,267,2,"66.3%","26.1%","37%",-89,-16,3.8,1,"1.7%",177,"6.4%","9.6%",1.9,0.37
"Neeko","Support",41,"22.8%","6.7%","29.4%","46%","44%",49,164,335,2.3,"62.5%","25.7%","24%",25,-74,-1.1,1.2,"3.1%",371,"13.3%","10.8%",2.04,0.52
"Nidalee","Top",1,"0.6%","0.0%","0.6%","100%","100%",0,1,8,8,"57.1%","20.0%","0%",695,582,14,8.5,"21.3%",852,"25.6%","17.3%",0.37,0.18
"Nocturne","Jungle",31,"17.2%","36.7%","53.9%","42%","39%",93,119,215,2.6,"70.2%","23.1%","29%",-101,-120,-2,6.8,"18.2%",462,"16.4%","19.7%",0.36,0.38
"Olaf","Top",3,"1.7%","0.0%","1.7%","67%","100%",11,8,5,2,"43.2%","22.9%","33%",-325,-610,-9.7,8.4,"25.6%",430,"17.3%","21.4%",0.43,0.15
"Orianna","Middle",23,"12.8%","75.6%","88.3%","61%","4%",97,41,153,6.1,"69.8%","16.7%","30%",201,214,5.1,9.5,"24.6%",669,"24.8%","22.1%",0.48,0.19
"Ornn","Top",1,"0.6%","0.6%","1.1%","100%","100%",0,7,8,1.1,"36.4%","26.9%","0%",212,278,2,5.8,"15.5%",374,"9.6%","11.9%",0.46,0.16
"Pantheon","Jungle",51,"28.3%","28.3%","56.7%","45%","33%",219,189,274,2.6,"69.9%","24.9%","39%",-84,-155,-3.7,6.6,"17.0%",514,"18.0%","20.2%",0.34,0.29
"Poppy","Jungle",6,"3.3%","4.4%","10.0%","50%","100%",16,17,43,3.5,"62.1%","20.0%","17%",26,12,-1.7,6.1,"15.8%",335,"11.8%","17.9%",0.44,0.39
"Poppy","Support",4,"2.2%","4.4%","10.0%","50%","75%",5,11,40,4.1,"64.3%","16.9%","0%",-124,58,4.3,1.2,"2.1%",232,"8.7%","10.7%",2.14,0.48
"Pyke","Support",10,"5.6%","4.4%","10.0%","50%","60%",26,36,80,2.9,"58.2%","24.2%","40%",74,-158,-3.1,1,"2.8%",247,"8.9%","11.8%",2.13,0.58
"Rakan","Support",5,"2.8%","1.1%","3.9%","40%","100%",4,15,46,3.3,"82.0%","20.3%","0%",-78,-121,7.6,1.3,"2.4%",165,"6.8%","11.1%",2.12,0.58
"Rek'Sai","Top",1,"0.6%","0.0%","0.6%","100%","100%",6,1,8,14,"70.0%","6.7%","0%",21,14,3,8.7,"21.6%",878,"27.1%","24.1%",0.42,0.19
"Rell","Support",5,"2.8%","0.6%","3.3%","40%","100%",0,18,55,3.1,"79.7%","24.7%","100%",-87,-299,2.4,1.2,"1.9%",189,"7.1%","9.8%",2.01,0.49
"Renata Glasc","Support",5,"2.8%","0.6%","3.3%","40%","80%",0,14,53,3.8,"73.6%","14.0%","20%",-97,85,0.8,1,"2.8%",178,"5.9%","9.9%",1.79,0.44
"Renekton","Top",39,"21.7%","5.0%","26.7%","41%","10%",75,110,147,2,"43.1%","18.2%","10%",126,117,4.2,8.7,"23.4%",536,"20.6%","19.7%",0.41,0.21
"Rumble","Middle",1,"0.6%","75.6%","88.9%","100%","0%",6,2,12,9,"75.0%","22.2%","0%",363,78,3,7.7,"19.0%",806,"28.8%","18.1%",0.44,0.29
"Rumble","Top",23,"12.8%","75.6%","88.9%","48%","0%",69,77,155,2.9,"61.2%","21.3%","0%",17,-31,0.8,8.2,"21.7%",771,"26.8%","19.7%",0.5,0.11
"Ryze","Middle",52,"28.9%","24.4%","53.3%","44%","25%",172,123,273,3.6,"64.8%","16.2%","25%",-37,-75,0.3,9.7,"28.0%",657,"24.0%","22.8%",0.49,0.22
"Sejuani","Jungle",2,"1.1%","0.0%","1.1%","50%","100%",6,6,10,2.7,"69.6%","19.4%","0%",-437,-202,-2.5,6,"11.2%",382,"15.1%","17.0%",0.34,0.33
"Senna","ADC",2,"1.1%","0.0%","1.1%","0%","100%",3,9,14,1.9,"63.0%","19.1%","50%",-233,-125,-9,7.6,"22.9%",564,"20.5%","22.4%",0.44,0.35
"Seraphine","Support",46,"25.6%","5.0%","30.6%","48%","35%",51,116,451,4.3,"79.8%","18.3%","20%",26,89,0.2,1.1,"2.3%",271,"10.3%","11.0%",1.88,0.41
"Shen","Top",2,"1.1%","0.6%","1.7%","50%","100%",4,3,16,6.7,"66.7%","15.0%","50%",-306,-214,-14.5,8,"22.1%",680,"16.1%","18.5%",0.38,0.2
"Sion","Top",35,"19.4%","6.7%","26.1%","60%","54%",62,77,278,4.4,"54.9%","17.2%","20%",-156,-22,-5.3,8,"20.9%",563,"19.1%","17.8%",0.45,0.17
"Sivir","ADC",18,"10.0%","8.9%","18.9%","56%","83%",67,45,146,4.7,"74.2%","15.8%","28%",-8,-106,-2,10.3,"33.9%",838,"26.9%","28.3%",0.46,0.3
"Skarner","Jungle",13,"7.2%","3.3%","11.1%","62%","100%",42,34,92,3.9,"69.4%","21.9%","31%",36,-79,-0.3,6.5,"17.0%",425,"14.8%","18.9%",0.41,0.34
"Skarner","Support",1,"0.6%","3.3%","11.1%","100%","100%",2,1,8,10,"62.5%","20.0%","0%",-46,555,-5,0.7,"1.1%",229,"10.2%","9.5%",2.07,0.32
"Soraka","Support",1,"0.6%","0.0%","0.6%","100%","100%",0,0,20,20,"100.0%","0.0%","100%",-124,-25,-8,0.8,"2.1%",275,"8.2%","10.6%",1.88,0.35
