"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Jungle",1,"1.4%","1.4%","2.9%","0%","100%",2,4,4,1.5,"75.0%","18.2%","0%",30,354,14,6.9,"19.1%",303,"12.7%","20.2%",0.33,0.48
"Ahri","Middle",5,"7.2%","2.9%","10.1%","20%","60%",16,16,25,2.6,"70.7%","18.4%","20%",-17,-167,-3.8,9.3,"27.7%",625,"23.8%","23.5%",0.22,0.3
"Akali","Middle",7,"10.1%","17.4%","27.5%","43%","86%",26,27,23,1.8,"56.3%","24.1%","43%",24,90,2.9,8.5,"24.2%",540,"19.8%","22.3%",0.28,0.35
"Alistar","Support",6,"8.7%","1.4%","10.1%","50%","83%",4,22,62,3,"76.7%","24.2%","33%",-205,-101,-1.3,0.7,"1.4%",116,"4.2%","10.1%",1.92,0.3
"Ambessa","Jungle",5,"7.2%","23.2%","39.1%","80%","40%",28,13,38,5.1,"80.5%","22.8%","20%",24,269,4.6,8.1,"23.1%",732,"23.9%","24.5%",0.28,0.26
"Ambessa","Top",6,"8.7%","23.2%","39.1%","50%","17%",22,15,23,3,"59.2%","19.2%","33%",-161,4,-9.7,8.2,"25.5%",685,"24.3%","22.3%",0.35,0.16
"Anivia","Middle",6,"8.7%","30.4%","49.3%","50%","50%",8,13,39,3.6,"65.3%","18.1%","33%",-21,301,5.2,7.9,"21.4%",546,"22.9%","19.0%",0.6,0.19
"Anivia","Support",3,"4.3%","30.4%","49.3%","33%","33%",3,9,11,1.6,"73.7%","18.0%","33%",193,-131,-4.3,1.2,"2.7%",319,"14.7%","11.0%",1.59,0.41
"Anivia","Top",4,"5.8%","30.4%","49.3%","75%","0%",6,7,26,4.6,"56.1%","17.9%","0%",-11,23,3.3,8.6,"23.3%",626,"24.8%","19.2%",0.55,0.25
"Annie","Middle",17,"24.6%","20.3%","44.9%","65%","18%",58,46,127,4,"69.5%","24.5%","24%",-127,-21,-0.4,7.8,"20.4%",764,"24.2%","19.4%",0.36,0.17
