"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Jungle",8,"7.2%","8.1%","17.1%","100%","75%",44,11,58,9.3,"63.4%","15.3%","38%",323,110,0.1,7.6,"20.9%",485,"18.3%","21.3%",0.28,0.35
"Aatrox","Top",2,"1.8%","8.1%","17.1%","100%","100%",11,1,5,16,"66.7%","16.7%","50%",-141,-34,-10,9.1,"25.1%",611,"23.5%","23.9%",0.35,0.14
"Ahri","Middle",22,"19.8%","2.7%","22.5%","50%","41%",83,38,138,5.8,"64.2%","11.4%","14%",48,-46,0.5,9.1,"25.0%",658,"24.0%","21.4%",0.33,0.3
"Akali","Middle",9,"8.1%","32.4%","42.3%","67%","78%",54,26,50,4,"62.3%","21.8%","22%",-105,137,-4.4,8.7,"23.8%",677,"23.4%","22.1%",0.33,0.22
"Akali","Top",2,"1.8%","32.4%","42.3%","0%","100%",8,7,1,1.3,"50.0%","21.2%","50%",173,43,6.5,8.8,"25.7%",457,"22.0%","23.7%",0.31,0.26
"Alistar","Support",6,"5.4%","2.7%","8.1%","67%","50%",4,19,53,3,"69.5%","27.1%","17%",-58,-186,1.3,0.8,"1.5%",125,"5.1%","9.6%",2.22,0.33
"Ambessa","Jungle",3,"2.7%","5.4%","25.2%","0%","0%",3,11,8,1,"78.6%","18.6%","0%",-542,-396,-6,6.2,"14.4%",295,"14.3%","18.3%",0.25,0.25
"Ambessa","Top",19,"17.1%","5.4%","25.2%","42%","47%",52,64,51,1.6,"47.7%","22.5%","5%",-355,-204,-9.7,8.5,"23.2%",565,"21.7%","20.0%",0.37,0.14
"Amumu","Support",1,"0.9%","0.0%","0.9%","0%","100%",1,6,3,0.7,"30.8%","20.7%","0%",69,-398,-1,1,"2.7%",173,"7.6%","8.8%",1.75,0.44
"Anivia","Middle",8,"7.2%","14.4%","27.0%","88%","71%",31,11,74,9.5,"62.5%","10.9%","38%",297,345,7.6,9.2,"25.8%",799,"25.1%","21.1%",0.51,0.22
"Anivia","Support",1,"0.9%","14.4%","27.0%","0%","100%",1,4,7,2,"80.0%","22.2%","100%",10,-397,-10,0.8,"1.6%",290,"11.8%","11.6%",1.86,0.4
"Anivia","Top",5,"4.5%","14.4%","27.0%","40%","20%",12,15,31,2.9,"54.4%","15.8%","0%",196,61,7.2,8,"22.6%",750,"24.8%","19.9%",0.51,0.11
"Annie","Middle",14,"12.6%","7.2%","19.8%","57%","71%",50,54,79,2.4,"58.1%","25.7%","14%",-67,104,1.4,8.3,"21.3%",692,"24.4%","19.9%",0.36,0.27
"Aphelios","ADC",2,"1.8%","0.9%","2.7%","100%","100%",6,1,21,27,"69.2%","6.3%","0%",-57,-148,-3,9.9,"28.4%",730,"24.0%","26.4%",0.48,0.4
"Ashe","ADC",25,"22.5%","20.7%","43.2%","76%","24%",115,58,165,4.8,"66.8%","21.2%","24%",13,-17,1.5,10,"30.5%",723,"25.1%","27.2%",0.44,0.43
"Aurelion Sol","Middle",1,"0.9%","1.8%","2.7%","100%","100%",11,1,7,18,"94.7%","7.1%","100%",-356,-245,-16,9.4,"28.6%",1241,"32.5%","27.4%",0.38,0.16
"Aurora","Middle",24,"21.6%","10.8%","37.8%","50%","21%",91,56,116,3.7,"61.8%","18.3%","17%",-78,-111,-2.7,8.8,"24.1%",681,"26.9%","20.8%",0.3,0.25
"Aurora","Top",6,"5.4%","10.8%","37.8%","33%","80%",20,18,29,2.7,"55.1%","18.0%","17%",198,112,6.8,8.5,"23.8%",788,"28.3%","20.6%",0.37,0.25
"Azir","Middle",27,"24.3%","33.3%","57.7%","52%","37%",70,84,111,2.2,"54.4%","22.5%","15%",-186,-85,-2.1,9.8,"27.8%",708,"26.0%","22.2%",0.47,0.25
"Bard","Support",30,"27.0%","17.1%","44.1%","50%","47%",23,91,279,3.3,"74.9%","21.8%","27%",7,20,-0.8,1,"2.5%",255,"9.8%","10.4%",2.04,0.62
"Brand","Top",1,"0.9%","0.0%","0.9%","0%","0%",1,6,5,1,"40.0%","35.3%","0%",-125,-597,16,8.1,"21.6%",869,"26.3%","18.7%",0.56,0.16
"Braum","Support",2,"1.8%","1.8%","3.6%","50%","100%",1,8,21,2.8,"73.3%","27.6%","50%",-28,-153,1.5,0.8,"1.4%",161,"6.3%","10.0%",2.1,0.33
"Caitlyn","ADC",22,"19.8%","18.9%","38.7%","59%","55%",94,56,99,3.4,"58.3%","20.0%","23%",-48,24,-0.5,10.3,"30.3%",749,"27.7%","27.4%",0.47,0.38
"Camille","Top",1,"0.9%","0.0%","0.9%","100%","0%",3,1,11,14,"63.6%","16.7%","100%",47,-33,-12,9.3,"27.2%",761,"25.7%","21.8%",0.33,0.16
"Cassiopeia","Middle",3,"2.7%","1.8%","5.4%","67%","100%",9,12,24,2.8,"71.7%","25.0%","67%",618,417,19.7,8.6,"24.1%",707,"23.2%","21.3%",0.42,0.14
"Cassiopeia","Top",1,"0.9%","1.8%","5.4%","0%","100%",6,6,6,2,"66.7%","27.3%","0%",-492,-534,-4,7.7,"22.4%",722,"20.9%","19.9%",0.63,0.17
"Corki","ADC",22,"19.8%","0.9%","20.7%","41%","55%",85,59,95,3.1,"59.0%","17.9%","5%",-216,-26,-3.3,10.2,"31.2%",779,"28.8%","27.3%",0.45,0.36
"Darius","Jungle",1,"0.9%","0.0%","0.9%","0%","100%",4,8,5,1.1,"56.3%","36.4%","0%",157,228,4,5.7,"13.1%",200,"6.8%","17.3%",0.29,0.49
"Diana","Middle",1,"0.9%","0.0%","0.9%","0%","100%",3,7,3,0.9,"46.2%","24.1%","100%",-19,136,3,9.1,"27.7%",554,"24.3%","27.3%",0.2,0.17
"Dr. Mundo","Jungle",8,"7.2%","13.5%","20.7%","38%","50%",17,14,44,4.4,"66.3%","11.6%","0%",-298,-69,0.4,7.2,"19.3%",590,"20.5%","19.8%",0.29,0.4
"Ekko","Middle",1,"0.9%","0.0%","0.9%","0%","100%",3,3,4,2.3,"58.3%","12.5%","0%",241,478,5,9.6,"27.2%",687,"30.2%","25.2%",0.16,0.16
"Elise","Support",1,"0.9%","0.9%","1.8%","100%","100%",3,2,8,5.5,"64.7%","22.2%","100%",173,52,-3,1.3,"3.3%",353,"10.8%","11.5%",1.94,0.71
"Ezreal","ADC",39,"35.1%","9.0%","44.1%","46%","33%",141,80,172,3.9,"65.2%","14.2%","21%",75,37,3.1,10.1,"29.9%",882,"32.0%","27.6%",0.44,0.34
"Galio","Middle",7,"6.3%","3.6%","9.9%","43%","86%",22,21,32,2.6,"60.7%","19.4%","14%",-435,-387,-9,8.6,"24.4%",451,"16.3%","20.5%",0.38,0.23
"Gnar","Top",27,"24.3%","26.1%","50.5%","56%","33%",58,68,116,2.6,"43.6%","19.4%","19%",-67,1,-4.9,9.1,"25.9%",574,"20.9%","20.7%",0.44,0.19
"Graves","-",0,"0%","0.9%","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gwen","Top",4,"3.6%","10.8%","14.4%","25%","100%",11,16,16,1.7,"47.4%","23.5%","25%",-278,-125,-2.8,8.7,"24.5%",570,"19.9%","20.4%",0.4,0.26
"Hwei","Middle",2,"1.8%","0.0%","1.8%","50%","100%",5,5,5,2,"55.6%","20.0%","0%",-435,-474,-14,9,"27.2%",512,"28.0%","21.8%",0.4,0.15
"Irelia","Middle",2,"1.8%","0.9%","5.4%","0%","100%",2,12,8,0.8,"50.0%","31.6%","0%",13,-351,-4.5,9.4,"28.8%",473,"20.7%","22.2%",0.4,0.17
"Irelia","Top",3,"2.7%","0.9%","5.4%","67%","100%",5,15,12,1.1,"47.2%","30.6%","33%",546,333,20,9.3,"25.4%",496,"19.0%","22.5%",0.26,0.18
"Janna","Support",1,"0.9%","0.0%","0.9%","0%","100%",0,2,4,2,"66.7%","11.8%","0%",-38,-415,-1,1.1,"2.6%",144,"5.2%","9.9%",2.48,0.74
"Jarvan IV","Jungle",23,"20.7%","53.2%","73.9%","43%","30%",62,67,221,4.2,"83.2%","21.6%","43%",74,62,0.7,6.6,"17.1%",417,"14.8%","18.9%",0.31,0.39
"Jax","Top",6,"5.4%","2.7%","8.1%","50%","67%",18,9,30,5.3,"57.1%","12.5%","33%",152,36,-1.7,8.8,"24.9%",576,"22.8%","21.8%",0.52,0.21
"Jayce","Jungle",1,"0.9%","17.1%","28.8%","0%","100%",0,3,5,1.7,"62.5%","20.0%","0%",-53,-162,4,7.7,"20.4%",654,"26.0%","23.6%",0.3,0.71
"Jayce","Top",12,"10.8%","17.1%","28.8%","42%","33%",29,38,56,2.2,"47.0%","21.6%","8%",264,-95,4.7,9.1,"25.1%",675,"24.4%","21.1%",0.46,0.21
"Jhin","ADC",14,"12.6%","1.8%","14.4%","29%","86%",41,37,53,2.5,"66.2%","16.7%","36%",267,47,3.2,9.8,"28.8%",572,"23.4%","26.8%",0.47,0.21
"Jinx","ADC",1,"0.9%","0.0%","0.9%","0%","100%",0,4,2,0.5,"50.0%","26.7%","0%",-450,-77,-4,10,"35.3%",267,"16.3%","28.2%",0.37,0.24
"K'Sante","Top",22,"19.8%","1.8%","21.6%","32%","68%",38,72,84,1.7,"48.0%","21.2%","9%",-186,16,-2.4,7.9,"20.2%",394,"16.8%","19.0%",0.39,0.2
"Kai'Sa","ADC",11,"9.9%","3.6%","13.5%","64%","82%",61,33,52,3.4,"61.4%","24.3%","0%",-246,-12,-7.4,9.7,"28.8%",671,"23.1%","27.6%",0.42,0.27
"Kalista","ADC",3,"2.7%","0.0%","2.7%","33%","67%",23,7,14,5.3,"74.0%","14.0%","0%",162,4,-2.3,9.6,"29.4%",859,"29.0%","28.6%",0.38,0.39
"Karma","Support",27,"24.3%","29.7%","54.1%","26%","11%",10,86,201,2.5,"71.3%","21.1%","30%",63,-7,-1.1,1,"2.5%",234,"9.0%","10.2%",2.07,0.57
"Kennen","Top",3,"2.7%","2.7%","5.4%","33%","100%",7,16,12,1.2,"47.5%","31.4%","33%",458,96,19.7,8.9,"21.6%",668,"27.6%","19.6%",0.38,0.2
"Kha'Zix","Jungle",2,"1.8%","0.0%","1.8%","100%","100%",15,7,16,4.4,"70.5%","28.0%","0%",-596,-521,-3.5,7.6,"20.7%",776,"21.5%","25.0%",0.22,0.54
"Kled","Top",1,"0.9%","0.0%","0.9%","100%","100%",4,0,3,7,"50.0%","0.0%","0%",289,159,4,9.1,"24.7%",838,"26.4%","21.0%",0.46,0.14
"Kog'Maw","ADC",1,"0.9%","0.0%","0.9%","0%","100%",1,2,0,0.5,"20.0%","12.5%","0%",480,292,12,10.9,"29.3%",501,"25.4%","24.9%",0.36,0.39
"LeBlanc","Middle",11,"9.9%","12.6%","22.5%","45%","64%",55,27,52,4,"69.5%","20.1%","27%",252,120,1.4,8.6,"23.1%",774,"29.1%","22.1%",0.28,0.35
"Lee Sin","Jungle",3,"2.7%","0.0%","2.7%","0%","100%",2,13,14,1.2,"61.5%","21.0%","0%",-107,-75,-1.3,7.1,"20.5%",333,"13.2%","19.1%",0.54,0.28
"Leona","Support",1,"0.9%","0.0%","0.9%","100%","100%",3,5,15,3.6,"81.8%","25.0%","0%",267,81,-2,0.9,"2.2%",185,"6.1%","10.2%",2.51,0.55
"Lissandra","Middle",4,"3.6%","1.8%","5.4%","50%","100%",13,16,34,2.9,"72.3%","25.0%","25%",110,375,9.5,9.4,"25.0%",628,"23.4%","21.6%",0.33,0.17
"Lucian","ADC",12,"10.8%","2.7%","13.5%","58%","17%",60,34,50,3.2,"65.1%","20.4%","25%",-130,-134,-2.8,9.9,"30.8%",868,"31.6%","29.3%",0.49,0.45
"Lulu","Support",32,"28.8%","5.4%","34.2%","56%","42%",19,73,333,4.8,"77.7%","17.5%","34%",-23,5,-0.8,0.9,"1.7%",189,"7.4%","10.3%",1.94,0.4
"Lux","-",0,"0%","0.9%","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Maokai","Jungle",1,"0.9%","0.0%","0.9%","0%","100%",1,3,2,1,"60.0%","15.0%","0%",-123,-274,-1,6.4,"15.4%",467,"20.2%","17.9%",0.48,0.32
"Mel","ADC",1,"0.9%","9.9%","14.4%","0%","100%",4,4,0,1,"66.7%","18.2%","0%",189,187,9,9,"28.2%",493,"19.8%","29.0%",0.49,0.23
"Mel","Middle",4,"3.6%","9.9%","14.4%","25%","25%",14,11,9,2.1,"50.0%","23.4%","0%",449,430,10.5,8.7,"21.5%",709,"26.1%","19.8%",0.44,0.22
"Milio","Support",11,"9.9%","3.6%","13.5%","55%","36%",3,21,121,5.9,"80.0%","13.0%","36%",-16,-61,-0.1,0.9,"1.6%",162,"5.8%","10.2%",1.89,0.37
"Miss Fortune","ADC",2,"1.8%","0.0%","1.8%","0%","50%",14,6,10,4,"63.2%","12.0%","0%",1045,970,25,10.6,"33.2%",1053,"34.0%","32.1%",0.41,0.44
"Naafiri","Jungle",3,"2.7%","0.9%","4.5%","0%","100%",10,11,8,1.6,"64.3%","19.0%","33%",-178,97,7.7,7.5,"22.1%",469,"21.2%","22.2%",0.24,0.38
"Naafiri","Top",1,"0.9%","0.9%","4.5%","0%","100%",6,7,5,1.6,"55.0%","25.0%","100%",1138,991,6,7.4,"24.2%",951,"26.1%","21.3%",0.38,0.06
"Nami","Support",34,"30.6%","4.5%","35.1%","53%","56%",30,82,290,3.9,"75.7%","19.1%","12%",-113,-79,-0.5,0.9,"1.8%",237,"9.0%","10.5%",1.96,0.44
"Nautilus","Support",9,"8.1%","83.8%","91.9%","22%","89%",8,42,109,2.8,"73.6%","26.1%","11%",61,118,0.9,1,"1.9%",213,"7.6%","9.9%",2.05,0.51
"Neeko","Support",18,"16.2%","3.6%","19.8%","56%","59%",19,74,155,2.4,"59.4%","29.1%","28%",121,24,0.9,1.2,"3.3%",332,"11.6%","10.5%",2.14,0.6
"Nidalee","Jungle",1,"0.9%","0.0%","0.9%","0%","100%",1,2,5,3,"66.7%","11.8%","0%",84,392,10,7.7,"20.2%",418,"20.1%","20.3%",0.15,0.51
"Nocturne","Jungle",20,"18.0%","20.7%","38.7%","30%","47%",63,76,132,2.6,"70.4%","20.9%","50%",200,162,2.4,7.1,"19.4%",436,"16.6%","20.2%",0.33,0.31
"Olaf","Jungle",3,"2.7%","3.6%","7.2%","67%","67%",14,7,12,3.7,"76.5%","25.0%","0%",320,689,13.7,8.1,"20.9%",564,"20.2%","23.3%",0.4,0.35
"Olaf","Top",1,"0.9%","3.6%","7.2%","0%","100%",6,5,7,2.6,"76.5%","18.5%","0%",120,-168,3,8.2,"25.4%",576,"19.4%","23.2%",0.46,0.22
"Orianna","Middle",9,"8.1%","80.2%","88.3%","67%","0%",29,18,54,4.6,"61.9%","17.6%","11%",345,68,12.7,9.6,"24.9%",661,"25.9%","22.2%",0.45,0.18
"Ornn","Top",8,"7.2%","3.6%","10.8%","88%","100%",8,6,69,12.8,"55.0%","7.8%","0%",-511,-234,-8,7.9,"19.9%",368,"13.7%","16.2%",0.47,0.17
"Pantheon","Jungle",30,"27.0%","34.2%","61.3%","63%","31%",120,85,183,3.6,"66.6%","24.4%","33%",-72,-123,-1.8,6.9,"17.9%",531,"18.3%","19.8%",0.34,0.27
"Poppy","Top",1,"0.9%","7.2%","8.1%","100%","100%",2,0,4,6,"50.0%","0.0%","0%",-304,-124,-9,9.3,"23.0%",633,"22.0%","21.5%",0.37,0.13
"Qiyana","Jungle",1,"0.9%","0.9%","1.8%","100%","100%",4,2,10,7,"66.7%","16.7%","100%",759,-276,-7,8.5,"22.4%",548,"21.5%","24.2%",0.19,0.35
"Quinn","Top",1,"0.9%","0.0%","0.9%","100%","100%",2,0,4,6,"35.3%","0.0%","0%",232,-14,6,10.2,"27.7%",846,"25.9%","21.5%",0.54,0.15
"Rakan","Support",11,"9.9%","4.5%","14.4%","73%","73%",2,31,151,4.9,"77.7%","17.8%","18%",-136,41,3.7,1.1,"2.5%",178,"6.0%","10.0%",2.34,0.65
"Rek'Sai","Top",1,"0.9%","0.0%","0.9%","100%","100%",4,3,5,3,"32.1%","16.7%","0%",277,155,5,7.6,"20.7%",495,"16.2%","17.0%",0.35,0.28
"Rell","Support",5,"4.5%","0.0%","4.5%","20%","60%",7,24,52,2.5,"76.6%","23.5%","40%",24,-156,2.6,1.1,"2.2%",165,"5.9%","10.9%",2.35,0.57
"Renata Glasc","Support",3,"2.7%","0.0%","2.7%","33%","100%",1,9,39,4.4,"80.0%","18.0%","0%",110,43,0.3,1.1,"2.7%",173,"5.9%","10.0%",1.92,0.5
"Renekton","Top",22,"19.8%","13.5%","33.3%","64%","29%",50,52,89,2.7,"40.6%","19.0%","14%",45,96,-0.3,9.1,"24.2%",515,"18.1%","19.9%",0.37,0.2
"Rumble","Top",30,"27.0%","38.7%","65.8%","57%","3%",93,78,167,3.3,"57.4%","19.8%","13%",186,90,0.8,8.2,"21.5%",776,"26.3%","20.9%",0.51,0.14
"Ryze","Middle",19,"17.1%","54.1%","72.1%","32%","11%",56,70,94,2.1,"62.0%","21.9%","32%",-146,-144,-4.4,9.3,"26.7%",547,"21.8%","21.6%",0.45,0.24
"Ryze","Top",1,"0.9%","54.1%","72.1%","0%","0%",0,4,4,1,"80.0%","25.0%","100%",521,477,20,9.4,"25.3%",379,"19.2%","21.0%",0.44,0
"Sejuani","Jungle",4,"3.6%","1.8%","5.4%","50%","75%",6,6,37,7.2,"75.4%","13.0%","75%",315,143,-0.5,6.5,"16.3%",395,"14.3%","17.8%",0.28,0.32
"Seraphine","ADC",1,"0.9%","15.3%","40.5%","0%","0%",3,4,8,2.8,"73.3%","18.2%","0%",69,330,-2,8.1,"23.3%",550,"20.2%","24.2%",0.44,0.2
"Seraphine","Support",27,"24.3%","15.3%","40.5%","63%","48%",31,71,280,4.4,"75.9%","20.9%","30%",38,154,1,1.1,"2.4%",256,"9.2%","10.9%",1.88,0.44
"Shen","Jungle",1,"0.9%","0.9%","4.5%","100%","100%",3,0,11,14,"66.7%","0.0%","0%",-23,-78,-5,6.9,"19.2%",298,"9.2%","18.3%",0.22,0.29
"Shen","Top",3,"2.7%","0.9%","4.5%","100%","67%",10,2,26,18,"67.9%","9.1%","33%",-155,39,-4,8.9,"23.2%",581,"20.5%","19.7%",0.47,0.17
"Shyvana","Top",3,"2.7%","0.0%","2.7%","33%","67%",13,13,18,2.4,"66.0%","21.0%","0%",-5,94,-2.7,8.6,"24.3%",691,"24.8%","21.5%",0.41,0.26
"Sion","Top",20,"18.0%","31.5%","49.5%","30%","55%",23,50,86,2.2,"51.9%","16.8%","5%",-216,-157,-1.8,8,"21.7%",498,"20.1%","18.2%",0.43,0.15
"Sivir","ADC",13,"11.7%","4.5%","16.2%","77%","92%",69,26,95,6.3,"73.2%","17.7%","54%",396,217,3.2,11.1,"34.4%",920,"30.5%","30.3%",0.49,0.38
"Skarner","Jungle",14,"12.6%","5.4%","18.0%","43%","93%",28,38,98,3.3,"72.4%","17.2%","29%",-79,-45,-0.8,6.6,"16.6%",445,"16.7%","18.4%",0.34,0.35
"Soraka","Support",1,"0.9%","0.0%","0.9%","100%","100%",2,1,13,15,"68.2%","20.0%","0%",308,-130,-2,1.1,"2.3%",141,"5.1%","10.4%",2.34,0.58
"Sylas","Middle",7,"6.3%","1.8%","8.1%","14%","100%",20,25,34,2.2,"62.1%","20.8%","14%",93,156,-5,8.5,"23.5%",563,"20.0%","20.4%",0.32,0.23
"Syndra","Middle",6,"5.4%","4.5%","9.9%","83%","33%",25,13,23,3.7,"56.5%","24.1%","33%",416,448,5,9.4,"26.0%",737,"25.6%","21.9%",0.43,0.18
"Taliyah","Middle",8,"7.2%","5.4%","12.6%","50%","63%",26,25,57,3.3,"65.9%","20.2%","38%",-110,-211,-8.4,9.1,"25.9%",569,"21.2%","21.4%",0.53,0.19
"Tristana","Middle",1,"0.9%","0.0%","0.9%","100%","100%",4,0,1,5,"55.6%","0.0%","0%",621,160,7,11,"26.2%",625,"28.3%","24.0%",0.41,0.27
"Trundle","Jungle",2,"1.8%","2.7%","4.5%","50%","50%",3,4,23,6.5,"72.2%","10.5%","0%",94,181,-1.5,6.7,"18.1%",231,"9.3%","17.5%",0.43,0.59
"Twisted Fate","Middle",1,"0.9%","0.0%","2.7%","100%","100%",4,2,9,6.5,"72.2%","20.0%","0%",611,-295,8,9.8,"26.1%",829,"22.1%","25.0%",0.43,0.2
"Twisted Fate","Top",2,"1.8%","0.0%","2.7%","100%","100%",6,12,15,1.8,"60.0%","41.4%","0%",887,179,15.5,8.6,"24.6%",739,"21.3%","25.8%",0.44,0.19
"Varus","ADC",14,"12.6%","58.6%","74.8%","36%","31%",54,51,86,2.7,"69.3%","23.7%","14%",-265,-210,-4.9,9.2,"27.6%",775,"28.1%","25.9%",0.48,0.25
"Varus","Top",4,"3.6%","58.6%","74.8%","75%","50%",19,16,21,2.5,"61.5%","28.1%","0%",30,-59,14.5,8.8,"26.6%",723,"25.9%","22.6%",0.42,0.2
"Vayne","Top",4,"3.6%","14.4%","18.0%","75%","100%",19,10,22,4.1,"60.3%","17.9%","0%",761,597,24.3,8.7,"23.9%",721,"26.4%","23.0%",0.48,0.25
"Vi","Jungle",24,"21.6%","29.7%","51.4%","58%","29%",82,73,188,3.7,"71.6%","22.5%","38%",33,113,0.6,7,"18.5%",393,"14.8%","20.2%",0.36,0.38
