"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","TDPG","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Ackerman","LØS","Support",9,"67%","50%",7,8,117,15.5,"81.6%","4.6%","7.9%","44%",145,250,1.8,1.2,"2.6%",265,"9.2%","7.9%",1500,155,"11.6%",0,1.89,0.37,0.54
"Ayu","FURIA","ADC",6,"100%","67%",24,8,42,8.3,"65.3%","23.8%","18.2%","0%",157,73,1.7,9.9,"30.6%",754,"29.0%","31.6%",9660,366,"27.0%",0,0.45,0.14,0.27
"BAO","Fluxo W7M","ADC",9,"44%","33%",39,21,33,3.4,"63.2%","34.2%","16.4%","0%",-330,12,-0.1,9.8,"30.5%",836,"31.2%","33.0%",6161,334,"27.2%",0,0.55,0.15,0.32
"Bull","LOUD","ADC",8,"38%","29%",22,20,32,2.7,"58.1%","23.7%","18.9%","25%",-59,24,2.3,9.6,"29.6%",714,"26.0%","28.7%",6389,303,"24.9%",0,0.37,0.08,0.27
"ceo","Vivo Keyd Stars","ADC",7,"14%","71%",17,28,18,1.3,"62.5%","30.4%","21.4%","14%",-93,-240,-5.1,9.8,"32.1%",638,"22.6%","23.6%",4192,299,"27.5%",0,0.53,0.17,0.28
"cody","Fluxo W7M","Middle",9,"44%","67%",29,23,46,3.3,"65.8%","25.4%","18.0%","22%",203,432,3.8,8.8,"24.5%",729,"28.0%","28.3%",8260,274,"22.7%",0,0.65,0.38,0.25
"Curse","LØS","Jungle",9,"67%","63%",17,31,76,3,"61.2%","11.2%","30.7%","11%",-140,-18,1.2,6.1,"15.5%",460,"15.4%","16.6%",3381,226,"16.8%",1,0.34,0.28,0.33
"curty","Fluxo W7M","Top",9,"44%","33%",18,30,38,1.9,"49.1%","15.8%","23.4%","22%",-307,-119,-14.7,7.8,"23.0%",488,"18.1%","17.7%",7590,235,"19.2%",0,0.34,0.11,0.17
"Duduhh","LØS","ADC",9,"67%","50%",52,16,42,5.9,"61.8%","34.2%","15.8%","33%",141,126,0.3,9.9,"31.5%",882,"28.6%","31.4%",10662,379,"27.9%",0,0.44,0.14,0.3
"Envy","LOUD","Middle",8,"38%","43%",22,20,36,2.9,"62.4%","23.7%","18.9%","25%",-66,-149,-6.3,8.2,"22.8%",635,"23.3%","22.6%",5770,251,"20.8%",0,0.32,0.1,0.18
