"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","TDPG","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Aiming","KT Rolster","ADC",34,"65%","44%",175,74,223,5.4,"72.9%","32.1%","16.7%","32%",-52,23,-0.4,10.5,"33.7%",818,"29.1%","31.6%",9638,379,"28.8%",0,0.42,0.11,0.37
"Andil","Kiwoom DRX","Support",38,"37%","55%",24,161,350,2.3,"71.5%","4.6%","25.2%","18%",-166,-34,1.7,1,"2.0%",232,"8.6%","6.8%",500,124,"10.0%",0,1.7,0.36,0.38
"Bdd","KT Rolster","Middle",37,"65%","54%",143,91,257,4.4,"67.5%","24.1%","18.8%","16%",71,-48,2.7,8.9,"24.3%",689,"24.3%","24.9%",5757,273,"21.1%",1,0.47,0.2,0.19
"Bluffing","Hanwha Life Esports","Support",3,"67%","33%",4,12,41,3.8,"84.9%","7.5%","21.8%","33%",-128,-320,-3,1,"2.5%",303,"9.7%","9.2%",1141,160,"11.5%",0,1.92,0.36,0.42
"Canyon","Gen.G","Jungle",36,"72%","67%",126,96,323,4.7,"73.2%","20.6%","23.2%","39%",3,-36,-0.3,7.2,"19.3%",500,"16.4%","18.4%",3451,273,"19.8%",4,0.43,0.36,0.32
"Career","Dplus Kia","Support",37,"54%","49%",33,70,333,5.2,"76.3%","6.9%","14.9%","30%",47,93,1.7,1.1,"2.2%",249,"9.2%","7.1%",956,138,"10.5%",1,1.94,0.35,0.51
"Casting","HANJIN BRION","Top",36,"44%","53%",74,87,205,3.2,"53.1%","14.1%","18.3%","19%",-23,-17,-2.7,8.4,"22.8%",609,"22.7%","20.5%",8261,257,"19.9%",0,0.56,0.19,0.17
"Chovy","Gen.G","Middle",36,"72%","56%",158,74,261,5.7,"68.4%","25.8%","17.9%","19%",164,205,7.2,9.7,"26.4%",832,"27.5%","27.9%",8648,314,"22.7%",0,0.38,0.11,0.4
"Clear","BNK FEARX","Top",34,"35%","59%",89,102,125,2.1,"47.5%","19.7%","18.6%","6%",-55,-31,-3.5,8.6,"24.0%",543,"21.0%","20.8%",6596,252,"20.4%",0,0.43,0.11,0.17
"Clozer","DN SOOPers","Middle",32,"6%","50%",76,95,89,1.7,"62.5%","28.8%","16.9%","9%",-144,10,0.3,9.3,"26.6%",610,"26.2%","25.7%",3413,248,"22.4%",0,0.44,0.19,0.17
"Cuzz","KT Rolster","Jungle",37,"65%","46%",125,118,293,3.5,"70.5%","21.1%","24.3%","30%",65,9,0.7,6.4,"16.8%",454,"15.7%","16.4%",2596,247,"19.2%",4,0.33,0.28,0.46
"Daystar","BNK FEARX","Middle",10,"40%","70%",38,32,57,3,"61.3%","24.5%","18.4%","0%",-401,-313,-10.3,8.6,"25.3%",605,"21.7%","22.5%",6702,273,"21.4%",0,0.46,0.26,0.23
"DDoiV","DN SOOPers","Jungle",2,"0%","50%",1,6,3,0.7,"44.4%","11.1%","22.2%","50%",-454,-394,-7.5,5.9,"14.8%",247,"11.9%","16.2%",0,171,"16.8%",0,0.29,0.25,0.27
"Delight","Hanwha Life Esports","Support",35,"77%","46%",46,94,440,5.2,"73.5%","7.0%","20.1%","34%",98,49,1.8,1.2,"2.5%",232,"7.5%","5.4%",1150,160,"11.2%",0,1.88,0.36,0.54
"deokdam","DN SOOPers","ADC",28,"7%","61%",58,97,104,1.7,"65.9%","23.6%","19.7%","18%",-514,-334,-13.3,9,"28.6%",593,"25.9%","27.7%",3219,288,"25.6%",0,0.43,0.11,0.25
"Diable","Nongshim RedForce","ADC",16,"13%","44%",60,64,77,2.1,"64.0%","28.0%","18.9%","25%",108,113,2.3,9.7,"33.2%",817,"27.0%","27.9%",6723,335,"27.9%",0,0.46,0.15,0.32
"Diable","BNK FEARX","ADC",17,"29%","35%",73,61,86,2.6,"71.9%","33.0%","19.7%","24%",-279,-51,0.8,9.6,"31.7%",793,"29.8%","32.9%",7180,355,"28.2%",1,0.51,0.18,0.3
