"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","TDPG","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"APA","Cloud9","Middle",18,"78%","56%",70,46,130,4.3,"69.4%","24.3%","25.8%","28%",-32,-20,-0.6,8.6,"22.9%",721,"23.7%","23.9%",6434,284,"20.9%",0,0.48,0.18,0.18
"Berserker","LYON","ADC",18,"67%","33%",80,40,110,4.8,"70.4%","29.6%","18.9%","33%",268,-24,4.8,10.2,"30.1%",787,"29.7%","31.3%",10728,370,"27.8%",0,0.41,0.11,0.3
"Blaber","Cloud9","Jungle",18,"78%","56%",64,33,151,6.5,"74.7%","22.2%","18.5%","50%",87,-140,-3.7,7.5,"21.3%",479,"15.7%","16.9%",2899,282,"21.0%",1,0.36,0.26,0.38
"Bvoy","Shopify Rebellion","ADC",15,"33%","60%",60,35,70,3.7,"68.8%","31.7%","15.2%","27%",131,31,4.1,9.5,"31.2%",913,"32.8%","36.3%",6567,321,"27.1%",1,0.46,0.15,0.28
"Callme","Disguised","Middle",15,"27%","53%",42,56,57,1.8,"64.3%","27.3%","21.3%","47%",225,124,0.3,9.2,"27.4%",566,"22.7%","22.7%",6664,276,"23.5%",0,0.26,0.15,0.3
"Castle","Disguised","Top",11,"18%","27%",27,42,24,1.2,"52.0%","27.6%","20.8%","27%",378,165,9.1,8.6,"23.5%",694,"27.2%","24.1%",8602,261,"23.2%",0,0.45,0.13,0.21
"Castle","LYON","Top",3,"0%","100%",1,14,11,0.9,"35.3%","2.9%","22.2%","0%",-130,-144,-8,8.2,"23.8%",484,"20.6%","18.7%",6271,205,"17.9%",0,0.5,0.24,0.23
"Ceos","Shopify Rebellion","Support",15,"33%","80%",11,52,134,2.8,"76.7%","5.8%","22.5%","27%",-104,-45,-0.6,0.9,"1.8%",253,"9.0%","7.3%",775,122,"10.3%",0,1.38,0.26,0.37
"Contractz","Shopify Rebellion","Jungle",15,"33%","47%",52,48,93,3,"76.7%","27.5%","20.8%","33%",12,-96,-1.5,6.8,"19.3%",434,"15.6%","15.3%",2186,247,"20.7%",1,0.29,0.24,0.26
"CoreJJ","Team Liquid","Support",18,"61%","22%",23,38,198,5.8,"80.7%","8.4%","17.4%","33%",150,37,-2.4,0.9,"2.2%",231,"8.7%","6.2%",1215,139,"10.9%",0,1.68,0.28,0.45
"Cryogen","FlyQuest","Support",19,"58%","21%",14,59,214,3.9,"79.2%","4.9%","23.5%","37%",44,10,0,1.1,"2.9%",283,"9.7%","7.9%",646,138,"11.0%",0,1.83,0.36,0.52
"DARKWINGS","Sentinels","Middle",18,"50%","39%",31,47,99,2.8,"60.2%","14.4%","21.0%","22%",-21,-61,-0.2,8.7,"24.0%",660,"26.1%","25.8%",8507,253,"21.1%",0,0.44,0.18,0.24
"Dhokla","LYON","Top",15,"80%","53%",43,36,95,3.8,"58.5%","18.2%","24.2%","13%",-100,-43,-2.4,8.1,"21.1%",622,"23.5%","21.4%",6980,255,"18.8%",0,0.39,0.1,0.22
"eXyu","Dignitas","Jungle",17,"18%","65%",31,64,81,1.8,"72.3%","20.0%","24.8%","24%",-202,-117,-2.4,6.5,"18.9%",448,"17.9%","20.3%",1386,220,"20.5%",0,0.32,0.24,0.39
"FBI","Dignitas","ADC",17,"18%","41%",48,48,61,2.3,"70.3%","31.0%","18.6%","18%",-9,18,0.9,9.4,"30.5%",789,"30.6%","32.5%",4047,303,"28.0%",0,0.47,0.19,0.27
"Fudge","Shopify Rebellion","Top",15,"33%","53%",28,50,56,1.7,"44.4%","14.8%","21.6%","0%",-224,-30,-6.2,7.9,"22.9%",511,"19.1%","17.6%",6471,233,"20.5%",0,0.47,0.11,0.11
"Gakgos","FlyQuest","Top",19,"58%","37%",46,36,121,4.6,"58.0%","16.0%","14.3%","11%",43,53,0.9,8.3,"23.2%",637,"21.1%","19.7%",6017,252,"19.9%",0,0.44,0.11,0.09
"Gryffinn","FlyQuest","Jungle",19,"58%","58%",80,53,136,4.1,"75.0%","27.8%","21.1%","37%",71,90,1.3,7.4,"22.0%",501,"16.8%","19.0%",3400,291,"23.2%",1,0.3,0.22,0.31
"HamBak","Sentinels","Jungle",18,"50%","39%",60,43,110,4,"78.7%","27.8%","19.2%","39%",40,88,-0.2,6.4,"17.0%",401,"15.1%","16.7%",2486,240,"19.9%",0,0.3,0.26,0.34
"huhi","Sentinels","Support",18,"50%","67%",14,44,159,3.9,"80.1%","6.5%","19.6%","28%",74,-12,1.9,1.1,"2.4%",256,"10.1%","8.4%",1006,134,"11.1%",0,1.99,0.36,0.51
"Ignar","Dignitas","Support",17,"18%","41%",7,41,109,2.8,"74.8%","4.5%","15.9%","24%",-86,-121,0,1,"2.0%",180,"7.7%","5.5%",414,110,"10.3%",1,1.85,0.43,0.39
