"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","TDPG","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Alvaro","Movistar KOI","Support",23,"65%","61%",18,69,265,4.1,"71.3%","4.5%","22.3%","9%",61,-21,2.7,1.1,"2.3%",244,"8.3%","6.1%",1037,141,"10.2%",0,2.05,0.35,0.54
"Boukada","Shifters","Jungle",17,"18%","35%",36,65,100,2.1,"66.3%","17.6%","21.0%","24%",-196,-3,-0.2,6.1,"15.2%",327,"12.9%","13.6%",650,219,"18.0%",1,0.26,0.26,0.37
"BrokenBlade","G2 Esports","Top",21,"71%","67%",38,53,104,2.7,"48.1%","12.9%","21.5%","5%",-195,-57,-4.3,8.5,"23.1%",523,"19.0%","17.2%",8950,259,"19.4%",0,0.45,0.16,0.2
"Busio","Karmine Corp","Support",23,"65%","50%",30,49,288,6.5,"78.7%","7.4%","16.2%","22%",-67,77,-0.8,1,"2.2%",261,"8.6%","6.6%",602,147,"10.7%",0,1.94,0.22,0.47
"Caliste","Karmine Corp","ADC",23,"65%","59%",108,54,157,4.9,"65.6%","26.7%","17.8%","13%",-1,132,3.3,10.6,"32.5%",834,"26.7%","28.9%",11086,389,"28.2%",0,0.49,0.13,0.37
"Canna","Karmine Corp","Top",23,"65%","41%",78,63,120,3.1,"49.0%","19.3%","20.8%","4%",-15,9,1.7,8.5,"22.9%",704,"23.0%","20.9%",7174,277,"20.1%",0,0.48,0.17,0.17
"Caps","G2 Esports","Middle",21,"71%","48%",80,37,107,5.1,"63.4%","27.1%","15.0%","10%",163,83,4.5,9.3,"24.7%",689,"25.3%","25.8%",8363,293,"21.9%",0,0.38,0.14,0.33
"Carzzy","Team Vitality","ADC",24,"71%","58%",117,50,121,4.8,"63.6%","31.3%","18.7%","25%",39,19,-2.8,9.8,"28.9%",816,"29.2%","32.0%",8459,365,"27.1%",0,0.43,0.1,0.37
"Daglas","Team Heretics","Jungle",6,"0%","50%",5,20,24,1.5,"63.0%","10.9%","19.0%","17%",-166,-4,-0.5,6.9,"18.4%",382,"16.0%","16.3%",919,212,"19.4%",0,0.31,0.18,0.35
"Elyoya","Movistar KOI","Jungle",23,"65%","30%",74,60,217,4.9,"73.3%","18.6%","19.4%","22%",-93,65,1.1,7.2,"18.6%",498,"16.2%","17.3%",3291,267,"19.4%",1,0.44,0.36,0.4
"Empyros","Fnatic","Top",23,"43%","48%",45,60,126,2.9,"53.8%","14.2%","20.5%","13%",-279,-228,-7.6,8.2,"21.9%",472,"18.4%","17.1%",3857,237,"18.6%",0,0.5,0.18,0.16
"Fleshy","Team Vitality","Support",24,"71%","42%",22,56,236,4.6,"69.0%","5.9%","20.9%","33%",180,135,-1,1.1,"2.4%",223,"7.9%","6.5%",1002,145,"10.8%",0,2.15,0.41,0.62
"Hans Sama","G2 Esports","ADC",21,"71%","48%",91,44,99,4.3,"64.4%","30.8%","17.8%","24%",313,226,11.4,10.3,"31.0%",824,"30.2%","32.7%",10083,377,"28.0%",0,0.46,0.16,0.43
"Humanoid","Team Vitality","Middle",24,"71%","50%",86,61,132,3.6,"58.3%","23.0%","22.8%","17%",46,7,-0.8,9.3,"26.0%",745,"25.7%","25.0%",7310,287,"21.2%",0,0.42,0.11,0.21
"Ice","Team Heretics","ADC",20,"15%","45%",59,59,59,2,"67.0%","33.5%","20.4%","40%",11,-30,0.5,10.5,"32.8%",654,"26.6%","28.2%",4560,328,"28.5%",0,0.42,0.12,0.32
"ISMA","GiantX","Jungle",22,"50%","43%",58,48,137,4.1,"68.9%","20.5%","16.1%","41%",42,-36,-1.1,7.2,"19.7%",435,"17.4%","18.5%",2097,248,"20.1%",1,0.26,0.19,0.33
"Jackies","GiantX","Middle",22,"50%","43%",94,56,94,3.4,"66.4%","33.2%","18.7%","18%",-51,-76,-5,9,"25.4%",691,"26.9%","27.3%",9353,283,"22.8%",0,0.33,0.14,0.28
"Jojopyun","Movistar KOI","Middle",23,"65%","52%",94,66,166,3.9,"65.5%","23.7%","21.3%","22%",169,189,8.2,9.6,"26.7%",786,"26.1%","25.1%",8967,301,"22.0%",0,0.47,0.11,0.21
