"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"BNK FEARX",34,12,22,30.9,451,549,0.82,0.95,-0.57,"-3.9%",40.8,-5.5,-785,"38%","53%","44%",24.2,"56%","41%","44%","46%","50%","35%","45%","49.5%","48.0%",3.67,1.24,1.57
"DN SOOPers",32,2,30,29.2,264,561,0.47,0.88,-2.02,"-11.4%",29.9,-23.7,-2058,"38%","9%","3%",13,"19%","44%","41%","29%","0%","22%","24%","49.0%","44.7%",3.5,1.16,1.47
"Dplus Kia",37,20,17,32.2,480,471,1.02,0.8,0.41,"2.2%",53.4,0.7,559,"49%","62%","59%",28.6,"58%","43%","51%","46%","0%","51%","48%","50.3%","50.6%",3.76,1.24,1.69
"Gen.G",36,26,10,31.1,613,413,1.48,0.91,0.98,"7.5%",60.1,12.1,680,"58%","53%","64%",32.3,"58%","54%","61%","64%","0%","72%","69%","51.1%","53.4%",3.7,1.23,1.78
"HANJIN BRION",36,16,20,33.9,525,475,1.11,0.82,0.04,"0.8%",49.7,-5.3,-55,"58%","44%","36%",27.6,"49%","50%","50%","50%","40%","50%","51%","49.3%","51.8%",3.86,1.22,1.61
"Hanwha Life Esports",38,29,9,30.1,714,523,1.37,1.08,1.1,"8.1%",61.3,15,1172,"58%","74%","76%",32.7,"67%","73%","37%","56%","0%","74%","75%","50.2%","54.1%",3.61,1.21,1.69
"Kiwoom DRX",38,14,24,31.3,523,640,0.82,0.98,-0.8,"-4.9%",40.1,-3.3,-1040,"37%","32%","42%",22.7,"43%","44%","58%","55%",,"39%","45%","49.6%","48.6%",3.35,1.01,1.53
"KT Rolster",37,24,13,31.9,593,485,1.22,0.91,0.15,"0.3%",55.2,9.7,466,"51%","54%","59%",29.5,"38%","69%","57%","52%","50%","49%","49%","50.2%","49.2%",3.78,1.3,1.71
"Nongshim RedForce",36,11,25,31.6,516,674,0.77,1.05,-0.25,"-2.9%",47.5,-16.9,-92,"53%","50%","42%",23.9,"47%","52%","53%","46%","100%","28%","37%","50.0%","47.1%",3.38,1.26,1.58
"T1",36,26,10,32,602,507,1.19,0.96,0.56,"2.4%",58.9,13.3,846,"58%","64%","67%",29.7,"64%","25%","47%","52%","100%","42%","50%","50.6%","51.5%",3.83,1.21,1.62
