"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Fnatic",23,10,13,35.2,318,293,1.09,0.76,-0.38,"1.2%",44.3,-0.8,-187,"70%","39%","30%",25,"43%","28%","52%","49%","67%","35%","36%","50.0%","48.1%",3.99,1.27,1.58
"G2 Esports",21,15,6,34,295,247,1.19,0.76,0.79,"3.2%",56.8,14.6,575,"48%","76%","62%",35.3,"67%","64%","52%","53%","67%","71%","79%","50.1%","52.6%",3.44,1.13,1.76
"GiantX",22,11,11,31.9,283,299,0.95,0.83,-0.4,"-3.3%",46.7,3.3,-270,"45%","36%","50%",25.3,"50%","54%","45%","48%","100%","32%","39%","49.6%","50.0%",3.61,1.11,1.67
"Karmine Corp",23,15,8,33.2,404,303,1.33,0.92,0.38,"3.3%",48.7,16.5,7,"35%","39%","61%",32.1,"64%","37%","57%","60%","50%","65%","63%","50.6%","52.1%",3.62,0.96,1.63
"Movistar KOI",23,15,8,33.7,397,310,1.28,0.91,0.33,"4.0%",49.4,15.8,-98,"30%","43%","65%",33,"43%","66%","48%","61%","100%","61%","68%","50.5%","53.9%",3.79,1.04,1.64
"Natus Vincere",23,12,11,35.7,324,337,0.96,0.81,0.21,"-0.4%",60.5,-8.3,651,"52%","70%","61%",30.9,"78%","72%","52%","50%","50%","57%","60%","49.5%","52.2%",3.82,1.15,1.76
"Shifters",22,6,16,35,294,390,0.75,0.89,-0.08,"-1.9%",47.5,-20.2,3,"59%","64%","45%",27,"45%","24%","50%","41%","25%","41%","43%","49.9%","46.7%",3.29,0.86,1.59
"SK Gaming",21,7,14,35.5,267,397,0.67,0.89,-0.89,"-3.7%",38.8,-5.5,-1216,"48%","43%","38%",26.5,"32%","53%","43%","41%","0%","29%","29%","50.1%","47.2%",3.66,1.04,1.54
"Team Heretics",20,3,17,32.3,176,289,0.61,0.72,-0.94,"-8.2%",43.4,-28.4,-637,"50%","30%","25%",19.1,"15%","47%","50%","37%","100%","20%","25%","49.2%","46.2%",3.43,0.99,1.43
"Team Vitality",24,17,7,34.9,374,268,1.4,0.77,0.77,"4.2%",61.8,9,980,"63%","58%","58%",33.4,"57%","54%","50%","56%","50%","63%","53%","50.5%","50.3%",3.7,0.97,1.7
