"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Anyone's Legend",31,17,14,32.3,436,368,1.18,0.8,,"-0.7%",,,,"32%","42%",,,"48%","53%","42%","49%",,,"58%","49.6%","51.8%",3.89,1.41,1.63
"Bilibili Gaming",32,24,8,32.8,637,410,1.55,1,,"8.4%",,,,"44%","63%",,,"59%","31%","53%","62%",,,"64%","50.8%","54.9%",3.92,1.45,1.6
"EDward Gaming",14,7,7,35.7,157,169,0.93,0.65,,"0.9%",,,,"57%","57%",,,"57%","71%","57%","53%",,,"55%","50.0%","50.9%",3.67,1.36,1.72
"Invictus Gaming",35,15,20,31.2,486,555,0.88,0.95,,"-2.8%",,,,"51%","51%",,,"63%","62%","54%","53%",,,"42%","49.7%","47.2%",3.53,1.3,1.57
"JD Gaming",35,20,15,32.1,520,429,1.21,0.84,,"2.4%",,,,"60%","60%",,,"57%","75%","63%","58%",,,"53%","50.3%","51.6%",3.95,1.5,1.68
"LGD Gaming",12,6,6,33.4,140,131,1.07,0.68,,"-0.2%",,,,"50%","50%",,,"50%","72%","33%","54%",,,"33%","49.7%","48.9%",3.71,1.38,1.66
"LNG Esports",13,9,4,33.1,196,144,1.36,0.79,,"4.8%",,,,"69%","54%",,,"58%","41%","77%","58%",,,"76%","50.4%","51.1%",3.82,1.29,1.73
"Ninjas in Pyjamas",33,16,17,32.3,461,460,1,0.86,,"1.4%",,,,"45%","55%",,,"36%","55%","64%","46%",,,"52%","49.5%","50.8%",3.76,1.26,1.62
"Oh My God",13,3,10,31.9,95,175,0.54,0.65,,"-2.9%",,,,"38%","62%",,,"31%","67%","38%","35%",,,"27%","49.8%","49.0%",3.89,1.4,1.65
"Team WE",33,6,27,32,328,595,0.55,0.87,,"-6.9%",,,,"67%","48%",,,"34%","35%","33%","36%",,,"17%","49.5%","44.9%",3.56,1.23,1.57
"ThunderTalk Gaming",14,8,6,30.8,202,176,1.15,0.88,,"1.2%",,,,"43%","43%",,,"54%","14%","57%","49%",,,"50%","50.6%","53.0%",3.55,1.46,1.66
"Top Esports",30,18,12,31.1,456,441,1.03,0.96,,"0.4%",,,,"60%","43%",,,"57%","50%","43%","50%",,,"64%","50.4%","50.4%",3.62,1.29,1.64
"Ultra Prime",12,6,6,34.5,163,159,1.03,0.78,,"-4.4%",,,,"42%","33%",,,"50%","36%","33%","51%",,,"53%","49.4%","46.5%",3.71,1.14,1.55
"Weibo Gaming",35,16,19,33.3,449,521,0.86,0.83,,"-1.8%",,,,"37%","37%",,,"44%","37%","46%","47%",,,"49%","50.2%","48.8%",3.42,1.24,1.71
